,Img_name,Labels
0,img_08290.png,12.0
1,img_08291.png,12.0
2,img_08292.png,12.0
3,img_08293.png,12.0
4,img_08294.png,12.0
5,img_08295.png,12.0
6,img_08296.png,12.0
7,img_08297.png,12.0
8,img_08298.png,12.0
9,img_08299.png,12.0
10,img_08300.png,12.0
11,img_08301.png,12.0
12,img_08302.png,12.0
13,img_08303.png,12.0
14,img_08304.png,12.0
15,img_08305.png,12.0
16,img_08306.png,12.0
17,img_08307.png,12.0
18,img_08308.png,12.0
19,img_08309.png,12.0
20,img_08310.png,12.0
21,img_08311.png,5.0
22,img_08312.png,5.0
23,img_08313.png,5.0
24,img_08314.png,5.0
25,img_08315.png,5.0
26,img_08316.png,5.0
27,img_08317.png,5.0
28,img_08318.png,5.0
29,img_08319.png,5.0
30,img_08320.png,5.0
31,img_08321.png,5.0
32,img_08322.png,5.0
33,img_08323.png,5.0
34,img_08324.png,5.0
35,img_08325.png,4.0
36,img_08326.png,4.0
37,img_08327.png,4.0
38,img_08328.png,4.0
39,img_08329.png,4.0
40,img_08330.png,4.0
41,img_08331.png,4.0
42,img_08332.png,4.0
43,img_08333.png,4.0
44,img_08334.png,4.0
45,img_08335.png,4.0
46,img_08336.png,4.0
47,img_08337.png,4.0
48,img_08338.png,4.0
49,img_08339.png,4.0
50,img_08340.png,4.0
51,img_08341.png,4.0
52,img_08342.png,4.0
53,img_08343.png,4.0
54,img_08344.png,4.0
55,img_08345.png,4.0
56,img_08346.png,4.0
57,img_08347.png,4.0
58,img_08348.png,4.0
59,img_08349.png,4.0
60,img_08350.png,4.0
61,img_08351.png,4.0
62,img_08352.png,4.0
63,img_08353.png,4.0
64,img_08354.png,4.0
65,img_08355.png,4.0
66,img_08356.png,4.0
67,img_08357.png,4.0
68,img_08358.png,4.0
69,img_08359.png,4.0
70,img_08360.png,4.0
71,img_08361.png,0.0
72,img_08362.png,0.0
73,img_08363.png,0.0
74,img_08364.png,0.0
75,img_08365.png,0.0
76,img_08366.png,0.0
77,img_08367.png,0.0
78,img_08368.png,0.0
79,img_08369.png,0.0
80,img_08370.png,0.0
81,img_08371.png,0.0
82,img_08372.png,0.0
83,img_08373.png,0.0
84,img_08374.png,0.0
85,img_08375.png,0.0
86,img_08376.png,0.0
87,img_08377.png,0.0
88,img_08378.png,0.0
89,img_08379.png,0.0
90,img_08380.png,0.0
91,img_08381.png,0.0
92,img_08382.png,0.0
93,img_08383.png,0.0
94,img_08384.png,0.0
95,img_08385.png,0.0
96,img_08386.png,0.0
97,img_08387.png,0.0
98,img_08388.png,0.0
99,img_08389.png,0.0
100,img_08390.png,0.0
101,img_08391.png,0.0
102,img_08392.png,0.0
103,img_08393.png,0.0
104,img_08394.png,0.0
105,img_08395.png,0.0
106,img_08396.png,0.0
107,img_08510.png,12.0
108,img_08511.png,12.0
109,img_08512.png,12.0
110,img_08513.png,12.0
111,img_08514.png,12.0
112,img_08515.png,12.0
113,img_08516.png,12.0
114,img_08517.png,12.0
115,img_08518.png,12.0
116,img_08519.png,12.0
117,img_08520.png,12.0
118,img_08521.png,12.0
119,img_08522.png,12.0
120,img_08523.png,12.0
121,img_08524.png,12.0
122,img_08525.png,12.0
123,img_08526.png,12.0
124,img_08527.png,12.0
125,img_08528.png,12.0
126,img_08529.png,12.0
127,img_08530.png,12.0
128,img_08531.png,5.0
129,img_08532.png,5.0
130,img_08533.png,5.0
131,img_08534.png,5.0
132,img_08535.png,5.0
133,img_08536.png,5.0
134,img_08537.png,5.0
135,img_08538.png,5.0
136,img_08539.png,5.0
137,img_08540.png,5.0
138,img_08541.png,5.0
139,img_08542.png,5.0
140,img_08543.png,5.0
141,img_08544.png,5.0
142,img_08545.png,5.0
143,img_08546.png,5.0
